,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2022-09-01 16:22:20,2022-09-01 16:22:19,302,45.0,1728.0,340,154,2.0,30.0,11492,2022-09-01 16:22:26,2022.09.01,62.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,35,24,True,1
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2022-09-01 15:29:17,2022-09-01 15:29:17,176,34.0,172.0,77,104,2.0,4.0,2430,2022-09-01 15:29:22,2022.09.01,57.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,9,18,True,1
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2022-09-01 16:35:57,2022-09-01 16:35:56,157,27.0,124.0,47,101,,2.0,1647,2022-09-01 16:36:02,2022.09.01,54.0,A ranked list of awesome python libraries for web development. Updated weekly.,8,16,True,1
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2022-09-01 15:31:27,2022-09-01 15:31:27,155,27.0,31.0,19,99,1.0,5.0,575,2022-09-01 15:31:37,2022.09.01,53.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,4,15,True,1
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2022-09-01 16:22:41,2022-09-01 16:22:40,157,27.0,52.0,19,102,6.0,2.0,510,2022-09-01 16:22:45,2022.09.01,60.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",9,14,True,2
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2022-09-01 16:22:01,2022-09-01 16:22:01,190,27.0,17.0,4,88,,,124,2022-09-01 16:22:08,2022.09.01,55.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,2,12,True,3
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2022-09-01 09:33:40,2022-09-01 09:33:40,92,23.0,13.0,6,41,,,55,2022-08-24 22:46:24,2022.08.24,28.0,A ranked list of awesome open-source crypto projects. Updated weekly.,3,12,True,1
7,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2022-01-04 15:29:32,2021-05-03 18:03:14,111,,54.0,12,48,14.0,4.0,459,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,11,False,3
8,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2022-08-31 18:34:43,2022-08-31 18:34:41,208,102.0,7.0,2,17,,1.0,69,,,,Ranked list of awesome digital gardens / second brains.,9,9,True,1
9,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2022-09-01 18:08:11,2022-08-25 20:26:23,110,40.0,,3,37,,,38,2022-08-26 07:44:22,2022.08.25,23.0,A ranked list of awesome MkDocs projects and plugins.,1,9,True,1
10,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2022-08-31 20:52:05,2022-08-31 20:19:44,140,76.0,3.0,2,234,,,12,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4,9,True,1
11,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2022-08-29 12:46:14,2022-01-24 19:09:18,130,,1.0,9,84,,,93,2021-10-04 12:57:04,2021.10.04,23.0,A ranked list of awesome machine learning Rust libraries.,2,8,True,3
12,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,1.0,2,38,,,8,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2,5,True,3
