,name,github_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/lukasmasuch/best-of-ml-python,https://github.com/lukasmasuch/best-of-ml-python,lukasmasuch/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2025-10-30 15:16:34,2025-10-23 23:29:08,623,26.0,2940.0,445.0,342.0,27.0,34.0,22657,2025-10-23 23:29:18,2025.10.23,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,54,24,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/lukasmasuch/best-of-python,https://github.com/lukasmasuch/best-of-python,lukasmasuch/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2025-10-30 13:44:17,2025-10-23 23:28:06,393,25.0,281.0,96.0,219.0,9.0,6.0,4203,2025-10-23 23:28:16,2025.10.23,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,14,19,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,,CC-BY-SA-4.0,2021-01-05 13:09:27,2025-10-30 16:52:04,2025-10-23 23:29:33,375,22.0,192.0,56.0,221.0,3.0,4.0,2630,2025-10-23 23:29:39,2025.10.23,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,16,19,True,1,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,,CC-BY-SA-4.0,2021-01-08 14:46:24,2025-10-30 14:53:34,2025-10-23 23:28:30,368,24.0,54.0,23.0,211.0,4.0,5.0,1196,2025-10-23 23:28:37,2025.10.23,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,18,True,1,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,,CC-BY-SA-4.0,2021-01-01 22:25:48,2025-10-30 14:54:52,2025-10-23 23:28:48,447,24.0,90.0,24.0,255.0,5.0,4.0,1151,2025-10-23 23:28:56,2025.10.23,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",13,18,True,2,
5,best-of-mkdocs,mkdocs/catalog,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,,CC-BY-SA-4.0,2022-04-17 07:48:22,2025-10-30 18:36:04,2025-10-23 18:51:27,418,17.0,111.0,15.0,328.0,2.0,35.0,1563,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,63,17,True,1,
6,best-of-robot-simulators,knmcguire/best-of-robot-simulators,,robot-dev,https://github.com/knmcguire/best-of-robot-simulators,https://github.com/knmcguire/best-of-robot-simulators,,CC-BY-SA-4.0,2025-04-09 08:06:08,2025-10-29 10:24:56,2025-10-22 16:04:49,169,18.0,60.0,14.0,87.0,13.0,120.0,975,2025-10-22 16:04:27,2025.10.22,29.0,"A Best-of-list of Robot Simulators, re-generated weekly on Wednesdays.",9,17,True,1,
7,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,,CC-BY-SA-4.0,2022-04-21 16:32:43,2025-10-29 18:39:16,2025-10-29 18:39:15,1412,89.0,26.0,6.0,35.0,,2.0,477,,,,Ranked list of awesome digital gardens / second brains.,21,15,True,3,
8,best-of-scala,stkeky/best-of-scala,,programming-languages,https://github.com/stkeky/best-of-scala,https://github.com/stkeky/best-of-scala,,CC-BY-SA-4.0,2023-03-13 21:28:43,2025-10-30 18:32:36,2025-10-25 22:10:33,191,9.0,25.0,10.0,178.0,3.0,9.0,279,2025-10-25 22:10:45,2025.10.23,100.0,A ranked list of awesome Scala projects. Updated weekly.,18,15,True,3,
9,best-of-digital-identity,jruizaranguren/best-of-digital-identity,,internet,https://github.com/jruizaranguren/best-of-digital-identity,https://github.com/jruizaranguren/best-of-digital-identity,,CC-BY-SA-4.0,2023-04-12 09:58:39,2025-10-30 18:32:28,2025-10-29 11:22:12,342,16.0,10.0,7.0,152.0,,1.0,153,2025-10-29 11:25:37,2025.10.23,64.0,A ranked list of awesome Digital Identity open source projects.,5,14,True,1,1.0
