,name,github_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,recent_commit_count,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/lukasmasuch/best-of-ml-python,https://github.com/lukasmasuch/best-of-ml-python,lukasmasuch/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2026-07-16 15:39:46,2026-03-22 08:44:47,628,3052.0,441.0,361.0,33.0,35.0,23682,2025-11-04 05:45:47,2025.10.30,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,57,22,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/lukasmasuch/best-of-python,https://github.com/lukasmasuch/best-of-python,lukasmasuch/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2026-07-16 16:15:07,2026-07-10 08:17:29,454,324.0,100.0,283.0,15.0,6.0,4531,2026-07-10 08:17:35,2026.07.09,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,18,18,True,1,12.0,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,,CC-BY-SA-4.0,2021-01-05 13:09:27,2026-07-16 18:27:56,2026-07-10 07:27:34,433,201.0,54.0,263.0,3.0,4.0,2738,2026-07-10 07:27:42,2026.07.09,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,17,18,True,1,12.0,
3,best-of-robot-simulators,knmcguire/best-of-robot-simulators,,robot-dev,https://github.com/knmcguire/best-of-robot-simulators,https://github.com/knmcguire/best-of-robot-simulators,,CC-BY-SA-4.0,2025-04-09 08:06:08,2026-07-15 13:33:17,2026-07-15 13:33:13,215,103.0,21.0,132.0,11.0,129.0,1368,2026-07-08 19:05:41,2026.07.08,65.0,"A Best-of-list of Robot Simulators, re-generated weekly on Wednesdays.",15,18,True,1,17.0,
4,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,,CC-BY-SA-4.0,2021-01-08 14:46:24,2026-07-16 16:25:14,2026-07-10 07:27:58,425,75.0,23.0,257.0,10.0,6.0,1284,2026-07-10 07:28:06,2026.07.09,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,8,17,True,1,14.0,
5,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,,CC-BY-SA-4.0,2021-01-01 22:25:48,2026-07-16 16:21:16,2026-07-10 08:17:40,500,90.0,23.0,293.0,5.0,4.0,1218,2026-07-10 08:17:45,2026.07.09,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",14,17,True,2,14.0,
6,best-of-mkdocs,mkdocs/catalog,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,,CC-BY-SA-4.0,2022-04-17 07:48:22,2026-07-16 19:15:33,2025-11-06 18:40:58,419,127.0,17.0,384.0,26.0,37.0,1768,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,63,16,True,1,,
7,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,,CC-BY-SA-4.0,2022-04-21 16:32:43,2026-07-15 19:24:57,2026-07-15 19:24:55,1679,32.0,11.0,38.0,1.0,2.0,576,,,,Ranked list of awesome digital gardens / second brains.,24,15,True,3,89.0,
8,best-of-scala,stkeky/best-of-scala,,programming-languages,https://github.com/stkeky/best-of-scala,https://github.com/stkeky/best-of-scala,,CC-BY-SA-4.0,2023-03-13 21:28:43,2026-07-16 19:16:18,2026-07-10 14:27:58,225,26.0,10.0,215.0,3.0,9.0,292,2026-07-10 14:28:11,2026.07.09,100.0,A ranked list of awesome Scala projects. Updated weekly.,18,15,True,3,11.0,
9,best-of-mcp-servers,tolkonepiu/best-of-mcp-servers,,data-engineering,https://github.com/tolkonepiu/best-of-mcp-servers,https://github.com/tolkonepiu/best-of-mcp-servers,,CC-BY-SA-4.0,2025-08-01 20:32:12,2026-07-16 08:56:01,2026-07-16 08:55:59,182,154.0,1.0,242.0,34.0,11.0,118,2026-07-16 08:56:10,2026.07.15,49.0,A ranked list of MCP servers. Updated weekly.,7,14,True,2,40.0,1.0
10,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,,CC-BY-SA-4.0,2021-01-09 00:40:46,2024-06-28 01:43:05,2021-05-03 18:03:14,111,165.0,19.0,129.0,110.0,4.0,1401,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,13,False,3,,
11,awesome-gpts,taranjeet/awesome-gpts,['python'],data-engineering,https://github.com/taranjeet/awesome-gpts,https://github.com/taranjeet/awesome-gpts,,MIT,2023-11-10 15:58:26,2024-04-21 19:47:16,2023-12-06 16:57:28,131,96.0,15.0,49.0,4.0,43.0,1362,,,,Collection of all the GPTs created by the community.,28,13,False,3,,
12,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/lukasmasuch/best-of-crypto,https://github.com/lukasmasuch/best-of-crypto,,CC-BY-SA-4.0,2022-01-08 21:25:33,2024-07-12 09:36:46,2024-06-05 20:02:12,282,115.0,25.0,150.0,13.0,,546,2024-06-05 20:02:18,2024.06.05,100.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5,13,False,1,,
13,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,,CC-BY-SA-4.0,2021-02-09 10:37:33,2026-07-01 12:14:51,2025-11-26 20:58:25,211,24.0,12.0,142.0,57.0,,506,2024-12-02 23:59:31,2024.12.01,31.0,A ranked list of awesome machine learning Rust libraries.,4,13,True,3,,
14,best-of-digital-identity,jruizaranguren/best-of-digital-identity,,internet,https://github.com/jruizaranguren/best-of-digital-identity,https://github.com/jruizaranguren/best-of-digital-identity,,CC-BY-SA-4.0,2023-04-12 09:58:39,2026-07-16 19:14:36,2026-07-10 06:13:57,414,17.0,8.0,194.0,,1.0,188,2026-07-10 06:14:21,2026.07.09,97.0,A ranked list of awesome Digital Identity open source projects.,7,13,True,1,22.0,
15,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,,CC-BY-SA-4.0,2022-01-23 23:37:02,2026-07-15 21:01:47,2026-07-13 20:59:16,1546,4.0,4.0,1640.0,1.0,,82,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",5,13,True,1,87.0,
16,best-of-nix,tolkonepiu/best-of-nix,,programming-languages,https://github.com/tolkonepiu/best-of-nix,https://github.com/tolkonepiu/best-of-nix,,CC-BY-SA-4.0,2025-05-11 01:41:28,2026-07-13 05:51:21,2026-07-13 05:51:20,203,4.0,3.0,100.0,,1.0,83,2026-07-13 05:51:33,2026.07.13,65.0,A ranked list of the best resources in the Nix community. Updated weekly.,6,12,True,3,37.0,
17,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/lukasmasuch/best-of-react,https://github.com/lukasmasuch/best-of-react,,CC-BY-SA-4.0,2021-02-21 12:52:27,2025-08-28 08:50:49,2025-08-28 08:50:49,375,123.0,17.0,196.0,3.0,2.0,1071,2024-06-06 15:57:19,2024.06.06,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,9,11,True,2,,
18,best-of-django,fkromer/best-of-django,['python'],web-dev,https://github.com/fkromer/best-of-django,https://github.com/fkromer/best-of-django,,CC-BY-SA-4.0,2022-10-04 19:22:03,2026-07-01 00:51:51,2026-06-01 18:46:26,406,14.0,2.0,97.0,1.0,,138,,,,A ranked list of awesome Django related Python packages.,3,9,True,3,4.0,
19,best-of-fastapi,fkromer/best-of-fastapi,['python'],web-dev,https://github.com/fkromer/best-of-fastapi,https://github.com/fkromer/best-of-fastapi,,CC-BY-SA-4.0,2022-11-27 14:22:10,2026-07-16 18:34:57,2026-07-09 21:47:13,208,2.0,2.0,186.0,,,48,,,,List of automatically rated Python packages for FastAPI.,4,9,True,3,13.0,
20,best-of-ps,jinningwang/best-of-ps,,others,https://github.com/jinningwang/best-of-ps,https://github.com/jinningwang/best-of-ps,,CC-BY-SA-4.0,2025-05-22 12:32:43,2026-03-24 04:23:41,2025-08-28 20:33:03,567,1.0,,,,,21,,,,A weekly updated ranked list of popular open-source libraries and tools for Power System Analysis.,9,8,True,3,,
21,best-of-rust-on-embedded-linux,fkromer/best-of-rust-on-embedded-linux,,embedded-dev,https://github.com/fkromer/best-of-rust-on-embedded-linux,https://github.com/fkromer/best-of-rust-on-embedded-linux,,CC-BY-SA-4.0,2025-04-22 18:53:52,2026-07-16 18:23:14,2026-07-09 21:47:45,215,2.0,1.0,73.0,,,14,,,,A ranked list of awesome Rust crates and projects suitable for the embedded Linux/Unix domain.,4,8,True,1,26.0,
22,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,3.0,2.0,39.0,9.0,,25,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2,7,False,3,,
23,best-of-react-native,fkromer/best-of-react-native,,native-dev,https://github.com/fkromer/best-of-react-native,https://github.com/fkromer/best-of-react-native,,CC-BY-SA-4.0,2023-04-30 19:12:38,2025-05-22 19:33:45,2025-05-22 19:33:45,216,2.0,1.0,100.0,,,9,,,,List of automatically rated React Native projects.,2,5,False,1,,
24,best-of-vue,fkromer/best-of-vue,['javascript'],web-dev,https://github.com/fkromer/best-of-vue,https://github.com/fkromer/best-of-vue,,CC-BY-SA-4.0,2022-12-03 16:39:34,2025-05-22 19:34:26,2025-05-22 19:34:26,175,,1.0,136.0,,,6,,,,List of automatically rated Vue projects.,2,5,False,3,,
