,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,open_issue_count,show,projectrank_placing,trending,updated_github_id
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2022-01-20 14:04:56,2022-01-17 22:39:50,202,24.0,807.0,233,97,21.0,6188,2022-01-13 18:07:49,2022.01.13,38,A ranked list of awesome machine learning Python libraries. Updated weekly.,20.0,20,5.0,True,1,1.0,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2022-01-20 13:34:28,2022-01-17 22:49:05,112,27.0,138.0,68,65,4.0,1918,2022-01-13 18:04:23,2022.01.13,32,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,6.0,16,,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2022-01-20 16:31:18,2022-01-17 22:37:19,106,24.0,91.0,49,68,2.0,1409,2022-01-13 18:05:07,2022.01.13,30,A ranked list of awesome python libraries for web development. Updated weekly.,7.0,15,4.0,True,1,,
3,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2022-01-20 14:29:05,2022-01-17 22:36:48,104,28.0,39.0,16,69,2.0,373,2022-01-17 19:58:05,2022.01.17,35,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",8.0,13,6.0,True,2,,
4,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2022-01-20 14:31:25,2022-01-17 22:37:13,91,23.0,19.0,17,62,5.0,391,2022-01-17 19:14:24,2022.01.17,28,A ranked list of awesome python developer tools and libraries. Updated weekly.,2.0,12,1.0,True,1,,
5,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2022-01-04 15:29:32,2021-05-03 18:03:14,111,,39.0,12,48,4.0,342,2021-05-03 17:59:01,2021.05.03-17.47,8,A ranked gallery of awesome streamlit apps built by the community.,4.0,12,14.0,True,3,,
6,best-of-ml-rust,e-tony/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2022-01-19 19:04:46,2022-01-19 19:04:46,128,10.0,1.0,8,52,,77,2021-10-04 12:57:04,2021.10.04,23,A ranked list of awesome machine learning Rust libraries.,2.0,10,,True,3,,e-tornike/best-of-ml-rust
7,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2022-01-20 15:27:57,2022-01-17 17:04:52,131,59.0,1.0,2,56,,31,2022-01-13 18:07:09,2022.01.13,27,A ranked list of awesome React open-source libraries and tools. Updated weekly.,1.0,10,1.0,True,3,,
8,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2022-01-19 21:54:44,2022-01-19 21:54:42,35,35.0,1.0,1,8,,4,2022-01-19 21:55:44,2022.01.19,2,A ranked list of awesome open-source crypto projects. Updated weekly.,,8,,True,1,1.0,
9,best-of-ml-julia,e-tony/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,,2,38,,5,2021-05-10 14:35:56,2021.05.10,3,A ranked list of awesome machine learning Julia libraries.,2.0,6,,True,3,,e-tornike/best-of-ml-julia
