,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2022-04-28 16:31:58,2022-04-28 15:59:42,219,17.0,1079,241,113,5.0,21.0,7409,2022-04-28 15:59:51,2022.04.28,43,A ranked list of awesome machine learning Python libraries. Updated weekly.,22.0,21,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2022-04-28 13:53:32,2022-04-26 10:47:13,127,11.0,150,70,80,,4.0,2120,2022-04-26 10:47:32,2022.04.21,38,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,7.0,17,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2022-04-28 17:23:05,2022-04-28 17:23:04,122,13.0,113,47,82,4.0,2.0,1498,2022-04-28 17:23:08,2022.04.28,37,A ranked list of awesome python libraries for web development. Updated weekly.,8.0,15,True,1,,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2022-04-28 14:40:13,2022-04-26 10:46:27,113,19.0,28,16,79,1.0,5.0,462,2022-04-26 10:46:33,2022.04.21,34,A ranked list of awesome python developer tools and libraries. Updated weekly.,4.0,14,True,1,,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2022-04-28 14:43:18,2022-04-26 10:46:46,118,11.0,44,16,83,6.0,2.0,415,2022-04-26 10:46:53,2022.04.21,41,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",9.0,13,True,2,,
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2022-04-28 15:32:13,2022-04-26 10:44:39,151,16.0,10,3,70,1.0,,69,2022-04-26 10:44:44,2022.04.21,36,A ranked list of awesome React open-source libraries and tools. Updated weekly.,2.0,12,True,3,,
6,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2022-01-04 15:29:32,2021-05-03 18:03:14,111,,44,12,48,14.0,4.0,396,2021-05-03 17:59:01,2021.05.03-17.47,8,A ranked gallery of awesome streamlit apps built by the community.,4.0,11,True,3,,
7,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2022-04-27 22:51:22,2022-04-27 22:51:22,57,20.0,3,2,22,,,15,2022-04-27 22:51:28,2022.04.27,12,A ranked list of awesome open-source crypto projects. Updated weekly.,,9,True,1,1.0,
8,best-of-ml-rust,e-tony/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2022-04-25 12:42:59,2022-01-24 19:09:18,130,,1,9,66,,,88,2021-10-04 12:57:04,2021.10.04,23,A ranked list of awesome machine learning Rust libraries.,2.0,8,True,3,1.0,e-tornike/best-of-ml-rust
9,best-of-ml-julia,e-tony/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,1,2,38,,,7,2021-05-10 14:35:56,2021.05.10,3,A ranked list of awesome machine learning Julia libraries.,2.0,5,True,3,,e-tornike/best-of-ml-julia
