,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,new_addition
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-03-16 15:23:28,2023-03-09 22:01:29,357,26.0,1964.0,365,184,12.0,31.0,13022.0,2023-03-09 22:01:38,2023.03.09,88.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,36.0,23,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-03-16 13:46:21,2023-03-09 22:00:58,226,22.0,204.0,82,130,2.0,4.0,2873.0,2023-03-09 22:01:05,2023.03.09,82.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,9.0,18,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-03-16 16:41:10,2023-03-09 22:01:55,211,24.0,141.0,52,131,1.0,2.0,1833.0,2023-03-09 22:02:03,2023.03.09,80.0,A ranked list of awesome python libraries for web development. Updated weekly.,10.0,16,True,1,,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-03-16 14:40:36,2023-03-09 22:01:19,208,23.0,36.0,21,128,1.0,5.0,684.0,2023-03-09 22:01:26,2023.03.09,79.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,5.0,16,True,1,,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-03-16 14:45:16,2023-03-09 22:01:09,208,21.0,61.0,22,130,1.0,2.0,618.0,2023-03-09 22:01:15,2023.03.09,85.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",10.0,15,True,2,,
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-03-16 15:33:36,2023-03-09 22:01:42,245,23.0,35.0,8,119,1.0,,402.0,2023-03-09 22:01:51,2023.03.09,81.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,5.0,15,True,2,,
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-03-15 19:30:40,2023-03-09 10:00:36,158,37.0,20.0,9,74,5.0,,99.0,2023-03-09 10:00:58,2023.03.08,54.0,A ranked list of awesome open-source crypto projects. Updated weekly.,3.0,13,True,1,,
7,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-03-13 12:05:47,2021-05-03 18:03:14,111,,78.0,13,76,14.0,4.0,583.0,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4.0,12,False,3,,
8,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-03-16 18:08:58,2023-03-16 18:08:58,146,13.0,6.0,6,67,1.0,2.0,160.0,2023-03-16 18:09:07,2023.03.16,52.0,A ranked list of awesome MkDocs projects and plugins.,4.0,12,True,1,,
9,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2023-03-15 22:23:28,2023-03-15 20:18:08,335,89.0,3.0,3,429,2.0,,25.0,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4.0,12,True,1,,
10,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-03-15 18:27:27,2023-03-15 18:27:26,423,103.0,11.0,3,22,,2.0,134.0,,,,Ranked list of awesome digital gardens / second brains.,14.0,11,True,3,,
11,best-of-ps,jinningwang/best-of-ps,,others,https://github.com/jinningwang/best-of-ps,https://github.com/jinningwang/best-of-ps,CC-BY-SA-4.0,2022-11-29 16:56:33,2023-03-16 18:25:09,2023-03-13 13:44:24,133,40.0,5.0,3,57,,3.0,30.0,2023-03-09 21:27:55,2023.03.09-20.26,16.0,A weekly updated ranked list of popular open-source libraries and tools for Power System Analysis.,3.0,11,True,3,-1.0,
12,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2023-03-05 10:45:11,2023-03-05 10:45:11,139,6.0,3.0,7,101,57.0,,131.0,2023-03-01 09:31:46,2023.03.01,24.0,A ranked list of awesome machine learning Rust libraries.,2.0,10,True,3,,
13,best-of-django,fkromer/best-of-django,['python'],web-dev,https://github.com/fkromer/best-of-django,https://github.com/fkromer/best-of-django,CC-BY-SA-4.0,2022-10-04 19:22:03,2023-03-02 09:54:06,2023-03-02 09:54:05,131,80.0,1.0,1,28,,,8.0,,,,A ranked list of awesome Django related Python packages.,,7,True,3,,
14,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,1.0,2,38,,,10.0,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2.0,5,False,3,,
15,best-of-fastapi,fkromer/best-of-fastapi,['python'],web-dev,https://github.com/fkromer/best-of-fastapi,https://github.com/fkromer/best-of-fastapi,CC-BY-SA-4.0,2022-11-27 14:22:10,2023-03-16 18:06:31,2023-03-09 19:27:33,46,12.0,,1,23,,,5.0,,,,List of automatically rated Python packages for FastAPI.,2.0,5,True,3,,
16,best-of-scala,stkeky/best-of-scala,,programming-languages,https://github.com/stkeky/best-of-scala,https://github.com/stkeky/best-of-scala,CC-BY-SA-4.0,2023-03-13 21:28:43,2023-03-16 18:22:37,2023-03-15 23:51:50,20,20.0,,1,11,,,,2023-03-13 22:58:09,2023.03.13-22.32,1.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,2.0,5,True,3,,True
