,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2022-03-31 15:09:42,2022-02-19 17:47:29,210,23.0,850.0,237,106,5.0,21.0,6451,2022-02-19 17:47:37,2022.02.17,40,A ranked list of awesome machine learning Python libraries. Updated weekly.,21.0,21,True,1,1.0,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2022-03-31 13:43:42,2022-02-19 17:49:35,120,20.0,147.0,70,75,,4.0,2060,2022-02-19 17:49:44,2022.02.17,36,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,6.0,16,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2022-03-31 16:35:53,2022-02-19 17:48:44,116,20.0,102.0,46,78,4.0,2.0,1472,2022-02-19 17:48:53,2022.02.17,34,A ranked list of awesome python libraries for web development. Updated weekly.,8.0,15,True,1,,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2022-03-31 14:44:46,2022-02-19 17:48:01,99,18.0,22.0,16,71,1.0,5.0,433,2022-02-19 17:48:09,2022.02.17,32,A ranked list of awesome python developer tools and libraries. Updated weekly.,2.0,13,True,1,1.0,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2022-03-31 14:39:33,2022-02-19 17:47:46,112,19.0,44.0,16,79,6.0,2.0,403,2022-02-19 17:47:55,2022.02.17,39,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",8.0,13,True,2,,
5,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2022-01-04 15:29:32,2021-05-03 18:03:14,111,,45.0,12,48,14.0,4.0,380,2021-05-03 17:59:01,2021.05.03-17.47,8,A ranked gallery of awesome streamlit apps built by the community.,4.0,12,True,3,,
6,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2022-03-31 15:32:25,2022-03-17 19:04:02,145,56.0,5.0,3,66,1.0,,57,2022-03-17 19:04:10,2022.03.10,33,A ranked list of awesome React open-source libraries and tools. Updated weekly.,2.0,12,True,3,2.0,
7,best-of-ml-rust,e-tony/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2022-03-28 12:42:04,2022-01-24 19:09:18,130,3.0,1.0,9,62,,,87,2021-10-04 12:57:04,2021.10.04,23,A ranked list of awesome machine learning Rust libraries.,2.0,9,True,3,-1.0,e-tornike/best-of-ml-rust
8,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2022-03-30 20:38:36,2022-03-30 20:38:36,51,51.0,2.0,2,18,,,10,2022-03-30 20:39:12,2022.03.30,9,A ranked list of awesome open-source crypto projects. Updated weekly.,,9,True,1,1.0,
9,best-of-ml-julia,e-tony/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,,2,38,,,5,2021-05-10 14:35:56,2021.05.10,3,A ranked list of awesome machine learning Julia libraries.,2.0,5,True,3,-1.0,e-tornike/best-of-ml-julia
