,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2022-08-04 15:28:56,2022-08-04 15:28:55,288,41.0,1709.0,338,146,2.0,29.0,11305,2022-08-04 15:29:03,2022.08.04,58.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,32.0,23,True,1,-1.0
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2022-08-04 15:45:53,2022-08-04 15:45:53,168,34.0,172.0,75,98,1.0,4.0,2332,2022-08-04 15:45:59,2022.08.04,53.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,9.0,18,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2022-08-04 16:48:40,2022-08-04 16:48:39,149,25.0,124.0,47,96,,2.0,1607,2022-08-04 16:49:17,2022.08.04,50.0,A ranked list of awesome python libraries for web development. Updated weekly.,8.0,16,True,1,1.0
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2022-08-04 15:46:12,2022-08-04 15:46:11,147,27.0,30.0,18,94,1.0,5.0,530,2022-08-04 15:46:18,2022.08.04,49.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,4.0,14,True,1,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2022-08-04 15:46:24,2022-08-04 15:46:23,149,27.0,49.0,18,97,6.0,2.0,491,2022-08-04 15:46:30,2022.08.04,56.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",9.0,14,True,2,1.0
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2022-08-04 15:46:40,2022-08-04 15:46:39,181,26.0,16.0,4,84,,,112,2022-08-04 15:46:47,2022.08.04,51.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,2.0,12,True,3,
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2022-08-04 00:27:25,2022-08-04 00:27:25,84,23.0,9.0,5,37,,,43,2022-08-04 00:27:41,2022.08.03,25.0,A ranked list of awesome open-source crypto projects. Updated weekly.,3.0,12,True,1,
7,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2022-01-04 15:29:32,2021-05-03 18:03:14,111,,53.0,12,48,14.0,4.0,446,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4.0,11,False,3,
8,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2022-08-04 18:10:56,2022-07-29 11:20:32,102,45.0,,2,33,,,30,2022-08-01 10:06:53,2022.07.28,19.0,A ranked list of awesome MkDocs projects and plugins.,,10,True,1,
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2022-08-03 18:31:23,2022-08-03 18:31:22,180,93.0,7.0,2,17,,1.0,61,,,,Ranked list of awesome digital gardens / second brains.,9.0,9,True,3,
