,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-02-16 15:24:34,2023-02-16 15:24:33,351,27.0,1938.0,354,180,13.0,31.0,12712,2023-02-16 15:24:42,2023.02.16,85.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,36.0,23,True,1
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-02-16 15:25:24,2023-02-16 15:25:24,220,24.0,204.0,84,126,2.0,4.0,2824,2023-02-16 15:25:29,2023.02.16,79.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,9.0,18,True,1
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-02-16 16:41:05,2023-02-10 23:19:10,203,23.0,137.0,51,127,,2.0,1809,2023-02-10 23:19:24,2023.02.09,76.0,A ranked list of awesome python libraries for web development. Updated weekly.,10.0,16,True,1
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-02-16 15:25:15,2023-02-16 15:25:14,202,24.0,36.0,21,124,1.0,5.0,673,2023-02-16 15:25:20,2023.02.16,76.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,5.0,16,True,1
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-02-16 15:25:05,2023-02-16 15:25:03,202,22.0,60.0,21,126,,2.0,600,2023-02-16 15:25:11,2023.02.16,82.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",10.0,15,True,2
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-02-16 15:36:36,2023-02-16 15:36:35,239,24.0,31.0,8,115,1.0,,392,2023-02-16 15:36:44,2023.02.16,78.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,5.0,15,True,2
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-02-15 21:42:27,2023-02-15 21:42:27,151,37.0,19.0,9,70,2.0,,91,2023-02-15 21:42:37,2023.02.15,51.0,A ranked list of awesome open-source crypto projects. Updated weekly.,3.0,13,True,1
7,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-02-13 12:06:06,2021-05-03 18:03:14,111,,76.0,12,72,14.0,4.0,561,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4.0,12,False,3
8,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-02-16 18:09:09,2023-02-09 19:25:12,141,12.0,5.0,5,63,1.0,2.0,134,2023-02-11 09:51:24,2023.02.09,47.0,A ranked list of awesome MkDocs projects and plugins.,4.0,11,True,1
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-02-15 18:28:22,2023-02-15 18:28:22,390,98.0,11.0,3,21,,2.0,119,,,,Ranked list of awesome digital gardens / second brains.,13.0,11,True,1
10,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2023-02-15 20:19:26,2023-02-14 20:17:37,306,87.0,3.0,2,401,2.0,,22,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4.0,11,True,1
11,best-of-ps,jinningwang/best-of-ps,,others,https://github.com/jinningwang/best-of-ps,https://github.com/jinningwang/best-of-ps,CC-BY-SA-4.0,2022-11-29 16:56:33,2023-02-16 18:25:43,2023-02-09 18:54:51,114,114.0,3.0,3,48,,2.0,28,2023-02-09 18:55:06,2023.02.09,12.0,A weekly updated ranked list of popular open-source libraries and tools for Power System Analysis.,2.0,10,True,3
12,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2023-02-01 09:20:57,2022-12-16 08:00:21,133,2.0,3.0,7,100,57.0,,120,2021-10-04 12:57:04,2021.10.04,23.0,A ranked list of awesome machine learning Rust libraries.,2.0,8,True,3
13,best-of-django,fkromer/best-of-django,['python'],web-dev,https://github.com/fkromer/best-of-django,https://github.com/fkromer/best-of-django,CC-BY-SA-4.0,2022-10-04 19:22:03,2023-02-02 18:39:30,2023-02-02 18:39:29,129,80.0,1.0,1,27,,,6,,,,A ranked list of awesome Django related Python packages.,,7,True,3
14,best-of-vue,fkromer/best-of-vue,['javascript'],web-dev,https://github.com/fkromer/best-of-vue,https://github.com/fkromer/best-of-vue,CC-BY-SA-4.0,2022-12-03 16:39:34,2023-02-16 18:08:38,2023-02-09 18:31:46,65,65.0,,2,27,,,10,,,,,2.0,5,False,3
15,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,1.0,2,38,,,9,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2.0,5,False,3
16,best-of-fastapi,fkromer/best-of-fastapi,['python'],web-dev,https://github.com/fkromer/best-of-fastapi,https://github.com/fkromer/best-of-fastapi,CC-BY-SA-4.0,2022-11-27 14:22:10,2023-02-16 18:06:42,2023-02-09 18:32:57,42,42.0,,1,19,,,4,,,,List of automatically rated Python packages for FastAPI.,2.0,5,True,3
