,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2022-07-28 17:51:49,2022-07-28 17:51:48,286,43.0,1709.0,337,145,2.0,29.0,11251,2022-07-28 17:51:53,2022.07.28,57.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,32.0,24,True,1
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2022-07-28 17:05:05,2022-07-28 17:05:05,166,34.0,172.0,75,97,1.0,4.0,2317,2022-07-28 17:05:11,2022.07.28,52.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,9.0,18,True,1
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2022-07-28 18:08:17,2022-07-28 18:08:16,147,25.0,120.0,47,95,4.0,2.0,1598,2022-07-28 18:08:22,2022.07.28,49.0,A ranked list of awesome python libraries for web development. Updated weekly.,8.0,15,True,1
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2022-07-28 17:05:17,2022-07-28 17:05:16,145,27.0,29.0,18,93,1.0,5.0,526,2022-07-28 17:05:22,2022.07.28,48.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,4.0,14,True,1
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2022-07-28 17:05:28,2022-07-28 17:05:27,147,27.0,47.0,17,96,6.0,2.0,490,2022-07-28 17:05:32,2022.07.28,55.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",9.0,13,True,2
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2022-07-28 17:04:46,2022-07-28 17:04:45,179,26.0,17.0,4,83,,,111,2022-07-28 17:04:51,2022.07.28,50.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,2.0,12,True,3
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2022-07-27 19:35:38,2022-07-27 19:35:38,82,25.0,8.0,5,36,,,39,2022-07-27 19:35:43,2022.07.27,24.0,A ranked list of awesome open-source crypto projects. Updated weekly.,3.0,12,True,1
7,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2022-01-04 15:29:32,2021-05-03 18:03:14,111,,52.0,12,48,14.0,4.0,442,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4.0,11,False,3
8,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2022-07-28 18:08:48,2022-07-22 08:07:39,100,45.0,,2,32,,,29,2022-07-22 08:07:55,2022.07.21,18.0,A ranked list of awesome MkDocs projects and plugins.,,10,True,1
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2022-07-27 18:30:48,2022-07-27 18:30:47,169,83.0,7.0,2,17,,1.0,60,,,,Ranked list of awesome digital gardens / second brains.,8.0,9,True,3
