,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,open_issue_count,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2022-06-30 15:39:49,2022-06-30 11:21:42,277,67.0,1614.0,333,139,29.0,10878,2022-06-23 19:19:08,2022.06.23,52.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,32.0,24,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2022-06-30 14:53:08,2022-06-30 14:53:08,158,38.0,163.0,74,93,4.0,2254,2022-06-30 14:53:22,2022.06.30,48.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,9.0,18,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2022-06-30 16:39:03,2022-06-23 19:18:29,137,21.0,117.0,47,91,2.0,1569,2022-06-23 19:18:34,2022.06.23,44.0,A ranked list of awesome python libraries for web development. Updated weekly.,8.0,15,True,1,4.0,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2022-06-30 14:53:39,2022-06-30 14:53:38,137,38.0,29.0,18,89,5.0,510,2022-06-30 14:53:49,2022.06.30,44.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,4.0,14,True,1,1.0,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2022-06-30 15:02:53,2022-06-30 15:02:52,139,26.0,46.0,17,92,2.0,464,2022-06-30 15:03:03,2022.06.30,51.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",9.0,13,True,2,6.0,
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2022-06-30 15:45:10,2022-06-23 19:18:45,169,23.0,15.0,4,79,,92,2022-06-23 19:22:30,2022.06.23,45.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,2.0,12,True,3,,
6,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2022-01-04 15:29:32,2021-05-03 18:03:14,111,,48.0,12,48,4.0,426,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4.0,11,False,3,14.0,
7,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2022-06-29 20:34:24,2022-06-29 20:34:24,75,24.0,8.0,4,32,,34,2022-06-29 20:34:29,2022.06.29,20.0,A ranked list of awesome open-source crypto projects. Updated weekly.,2.0,10,True,1,,
8,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2022-06-30 18:12:10,2022-06-30 18:12:10,94,94.0,,1,28,,26,2022-06-23 19:44:04,2022.06.23,14.0,A ranked list of awesome MkDocs projects and plugins.,,10,True,1,,
9,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2022-06-29 20:22:18,2022-06-29 20:08:19,86,55.0,3.0,2,171,,8,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4.0,9,True,1,,1.0
10,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2022-06-27 12:50:26,2022-01-24 19:09:18,130,,1.0,9,75,,86,2021-10-04 12:57:04,2021.10.04,23.0,A ranked list of awesome machine learning Rust libraries.,2.0,8,True,3,,
11,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2022-06-29 18:34:31,2022-06-29 18:34:30,135,135.0,4.0,2,14,1.0,52,,,,Ranked list of awesome digital gardens / second brains.,6.0,8,True,3,,
12,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,1.0,2,38,,7,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2.0,5,True,3,,
