,name,github_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,recent_commit_count,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/lukasmasuch/best-of-ml-python,https://github.com/lukasmasuch/best-of-ml-python,lukasmasuch/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2026-03-19 14:21:59,2025-11-07 05:42:31,627,3018.0,445.0,346.0,29.0,34.0,23335,2025-11-04 05:45:47,2025.10.30,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,56,23,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/lukasmasuch/best-of-python,https://github.com/lukasmasuch/best-of-python,lukasmasuch/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2026-03-19 15:34:33,2026-03-19 15:34:33,432,298.0,99.0,246.0,10.0,6.0,4389,2026-03-19 15:34:40,2026.03.19,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,16,18,True,1,22.0,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,,CC-BY-SA-4.0,2021-01-05 13:09:27,2026-03-19 18:46:03,2026-03-19 18:46:01,413,194.0,55.0,241.0,3.0,4.0,2702,2026-03-19 18:46:10,2026.03.19,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,16,18,True,1,24.0,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,,CC-BY-SA-4.0,2021-01-08 14:46:24,2026-03-19 15:34:23,2026-03-19 15:34:20,406,57.0,24.0,232.0,7.0,5.0,1242,2026-03-19 15:34:26,2026.03.19,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,17,True,1,24.0,
4,best-of-robot-simulators,knmcguire/best-of-robot-simulators,,robot-dev,https://github.com/knmcguire/best-of-robot-simulators,https://github.com/knmcguire/best-of-robot-simulators,,CC-BY-SA-4.0,2025-04-09 08:06:08,2026-03-19 13:36:29,2026-03-19 13:36:24,194,86.0,16.0,111.0,16.0,121.0,1202,2026-03-19 13:37:02,2026.03.18,50.0,"A Best-of-list of Robot Simulators, re-generated weekly on Wednesdays.",12,17,True,1,15.0,
5,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,,CC-BY-SA-4.0,2021-01-01 22:25:48,2026-03-19 15:34:13,2026-03-19 15:34:10,478,90.0,23.0,275.0,5.0,4.0,1195,2026-03-19 15:34:16,2026.03.19,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",14,17,True,2,15.0,
6,best-of-mkdocs,mkdocs/catalog,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,,CC-BY-SA-4.0,2022-04-17 07:48:22,2026-03-19 19:05:00,2025-11-06 18:40:58,419,116.0,18.0,356.0,26.0,37.0,1705,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,63,16,True,1,,
7,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,,CC-BY-SA-4.0,2022-04-21 16:32:43,2026-03-18 19:15:08,2026-03-18 19:15:07,1557,28.0,9.0,37.0,,2.0,521,,,,Ranked list of awesome digital gardens / second brains.,23,15,True,3,94.0,
8,best-of-scala,stkeky/best-of-scala,,programming-languages,https://github.com/stkeky/best-of-scala,https://github.com/stkeky/best-of-scala,,CC-BY-SA-4.0,2023-03-13 21:28:43,2026-03-19 19:03:33,2026-03-18 16:06:23,210,26.0,10.0,198.0,3.0,9.0,287,2026-03-18 16:06:40,2026.03.12,100.0,A ranked list of awesome Scala projects. Updated weekly.,18,15,True,3,12.0,
9,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,,CC-BY-SA-4.0,2021-01-09 00:40:46,2024-06-28 01:43:05,2021-05-03 18:03:14,111,160.0,20.0,128.0,110.0,4.0,1373,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,13,False,2,,
