,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2024-03-07 16:24:43,2024-03-07 16:24:43,469,25.0,2286.0,385,248,22.0,34.0,15146.0,2024-03-07 16:24:49,2024.03.07,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,45.0,23,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2024-03-07 14:32:45,2024-03-07 14:32:44,333,26.0,223.0,87,186,4.0,5.0,3343.0,2024-03-07 14:32:51,2024.03.07,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,12.0,18,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2024-03-07 16:25:02,2024-03-07 16:25:01,317,27.0,158.0,54,186,,3.0,2129.0,2024-03-07 16:25:09,2024.03.07,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,14.0,18,True,1,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2024-03-07 14:32:35,2024-03-07 14:32:34,313,26.0,43.0,25,182,3.0,5.0,887.0,2024-03-07 14:32:41,2024.03.07,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7.0,16,True,1,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2024-03-07 14:33:35,2024-03-07 14:33:34,319,29.0,76.0,24,186,2.0,3.0,802.0,2024-03-07 14:33:41,2024.03.07,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",13.0,16,True,2,
5,best-of-mkdocs,mkdocs/catalog,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22,2024-03-07 18:20:06,2024-02-29 18:37:39,261,23.0,40.0,12,177,4.0,14.0,725.0,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,26.0,15,True,1,
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2024-03-07 14:32:55,2024-03-07 14:32:55,256,24.0,44.0,14,126,5.0,,189.0,2024-03-07 14:33:02,2024.03.06,100.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5.0,15,True,1,
7,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2024-03-07 16:24:53,2024-03-07 16:24:52,348,26.0,58.0,12,170,1.0,1.0,586.0,2024-03-07 16:24:57,2024.03.07,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,6.0,14,True,2,
8,best-of-ps,jinningwang/best-of-ps,,others,https://github.com/jinningwang/best-of-ps,https://github.com/jinningwang/best-of-ps,CC-BY-SA-4.0,2022-11-29 16:56:33,2024-03-07 18:21:36,2024-03-01 14:01:11,291,151.0,17.0,4,90,2.0,3.0,101.0,2024-02-29 18:29:32,2024.02.29,41.0,A weekly updated ranked list of popular open-source libraries and tools for Power System Analysis.,5.0,14,True,1,
9,best-of-digital-identity,jruizaranguren/best-of-digital-identity,,internet,https://github.com/jruizaranguren/best-of-digital-identity,https://github.com/jruizaranguren/best-of-digital-identity,CC-BY-SA-4.0,2023-04-12 09:58:39,2024-03-07 18:21:46,2024-03-07 11:30:10,240,47.0,6.0,10,92,,,44.0,2024-03-07 11:30:33,2024.02.29,24.0,A ranked list of awesome Digital Identity open source projects.,4.0,14,True,1,
10,awesome-gpts,taranjeet/awesome-gpts,['python'],data-engineering,https://github.com/taranjeet/awesome-gpts,https://github.com/taranjeet/awesome-gpts,MIT,2023-11-10 15:58:26,2024-01-03 10:28:09,2023-12-06 16:57:28,131,,80.0,17,47,3.0,43.0,1166.0,,,,Collection of all the GPTs created by the community.,28.0,13,True,2,1.0
11,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2024-03-07 10:59:57,2024-03-07 10:59:57,170,14.0,3.0,10,113,57.0,,216.0,2024-03-04 07:32:42,2024.03.01,28.0,A ranked list of awesome machine learning Rust libraries.,2.0,13,True,2,
12,best-of-scala,stkeky/best-of-scala,,programming-languages,https://github.com/stkeky/best-of-scala,https://github.com/stkeky/best-of-scala,CC-BY-SA-4.0,2023-03-13 21:28:43,2024-03-07 18:18:59,2024-02-22 21:24:15,110,12.0,16.0,10,91,3.0,9.0,206.0,2024-02-22 21:24:32,2024.02.22,31.0,A ranked list of awesome Scala projects. Updated weekly.,12.0,13,True,3,
13,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2024-03-04 12:07:55,2021-05-03 18:03:14,111,,115.0,17,125,98.0,4.0,875.0,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4.0,12,False,3,
14,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2024-03-06 18:25:05,2024-03-06 18:24:09,779,89.0,15.0,6,22,,2.0,285.0,,,,Ranked list of awesome digital gardens / second brains.,14.0,12,True,3,
15,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2024-03-06 22:42:25,2024-03-06 20:17:26,691,89.0,4.0,5,785,2.0,,42.0,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4.0,12,True,3,
16,best-of-django,fkromer/best-of-django,['python'],web-dev,https://github.com/fkromer/best-of-django,https://github.com/fkromer/best-of-django,CC-BY-SA-4.0,2022-10-04 19:22:03,2024-03-01 12:05:37,2024-03-01 12:05:36,216,7.0,,2,45,,,6.0,,,,A ranked list of awesome Django related Python packages.,,7,True,3,
17,best-of-fastapi,fkromer/best-of-fastapi,['python'],web-dev,https://github.com/fkromer/best-of-fastapi,https://github.com/fkromer/best-of-fastapi,CC-BY-SA-4.0,2022-11-27 14:22:10,2024-03-07 18:06:28,2024-03-01 12:06:31,97,13.0,,2,74,,,,,,,List of automatically rated Python packages for FastAPI.,2.0,6,True,3,
18,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,2.0,2,38,,,14.0,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2.0,5,False,3,
19,best-of-react-native,fkromer/best-of-react-native,,native-dev,https://github.com/fkromer/best-of-react-native,https://github.com/fkromer/best-of-react-native,CC-BY-SA-4.0,2023-04-30 19:12:38,2024-03-07 18:02:32,2024-03-01 12:06:43,119,24.0,,2,49,,,1.0,,,,,,5,False,1,
20,best-of-vue,fkromer/best-of-vue,['javascript'],web-dev,https://github.com/fkromer/best-of-vue,https://github.com/fkromer/best-of-vue,CC-BY-SA-4.0,2022-12-03 16:39:34,2024-03-07 18:09:09,2024-03-01 12:05:49,124,12.0,,2,85,,,1.0,,,,,2.0,4,False,3,
