,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2022-04-07 15:34:15,2022-02-19 17:47:29,210,20.0,850.0,237,107,5.0,21.0,6465,2022-02-19 17:47:37,2022.02.17,40,A ranked list of awesome machine learning Python libraries. Updated weekly.,21.0,21,True,1,1.0,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2022-04-07 13:44:15,2022-02-19 17:49:35,120,18.0,148.0,70,76,,4.0,2075,2022-02-19 17:49:44,2022.02.17,36,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,6.0,16,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2022-04-07 16:32:52,2022-02-19 17:48:44,116,18.0,104.0,46,79,4.0,2.0,1472,2022-02-19 17:48:53,2022.02.17,34,A ranked list of awesome python libraries for web development. Updated weekly.,8.0,15,True,1,,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2022-04-07 14:45:14,2022-02-19 17:48:01,99,16.0,23.0,16,72,1.0,5.0,436,2022-02-19 17:48:09,2022.02.17,32,A ranked list of awesome python developer tools and libraries. Updated weekly.,2.0,13,True,1,1.0,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2022-04-07 14:39:06,2022-02-19 17:47:46,112,17.0,43.0,16,80,6.0,2.0,403,2022-02-19 17:47:55,2022.02.17,39,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",8.0,13,True,2,,
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2022-04-07 15:39:30,2022-04-05 19:53:39,147,56.0,7.0,3,67,1.0,,64,2022-04-05 19:53:47,2022.03.31,34,A ranked list of awesome React open-source libraries and tools. Updated weekly.,2.0,12,True,3,2.0,
6,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2022-01-04 15:29:32,2021-05-03 18:03:14,111,,44.0,12,48,14.0,4.0,387,2021-05-03 17:59:01,2021.05.03-17.47,8,A ranked gallery of awesome streamlit apps built by the community.,4.0,11,True,3,-1.0,
7,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2022-04-06 19:21:22,2022-03-30 20:38:36,51,51.0,2.0,2,19,,,12,2022-03-30 20:39:12,2022.03.30,9,A ranked list of awesome open-source crypto projects. Updated weekly.,,9,True,1,1.0,
8,best-of-ml-rust,e-tony/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2022-04-04 12:42:57,2022-01-24 19:09:18,130,3.0,1.0,9,63,,,88,2021-10-04 12:57:04,2021.10.04,23,A ranked list of awesome machine learning Rust libraries.,2.0,8,True,3,-2.0,e-tornike/best-of-ml-rust
9,best-of-ml-julia,e-tony/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,,2,38,,,5,2021-05-10 14:35:56,2021.05.10,3,A ranked list of awesome machine learning Julia libraries.,2.0,5,True,3,-1.0,e-tornike/best-of-ml-julia
