,name,github_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/lukasmasuch/best-of-ml-python,https://github.com/lukasmasuch/best-of-ml-python,lukasmasuch/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2025-07-17 16:20:52,2025-07-17 16:20:51,593,26.0,2814.0,441.0,323.0,27.0,34.0,21575,2025-07-17 16:20:56,2025.07.17,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,54,23,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/lukasmasuch/best-of-python,https://github.com/lukasmasuch/best-of-python,lukasmasuch/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2025-07-17 15:03:10,2025-07-17 15:03:10,364,3.0,273.0,97.0,202.0,7.0,6.0,4041,2025-07-17 15:03:17,2025.07.17,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,13,17,True,1,2.0
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,,CC-BY-SA-4.0,2021-01-05 13:09:27,2025-07-17 18:23:46,2025-07-17 18:23:44,349,3.0,186.0,57.0,206.0,,3.0,2550,2025-07-17 18:23:51,2025.07.17,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,16,17,True,1,2.0
3,best-of-mkdocs,mkdocs/catalog,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,,CC-BY-SA-4.0,2022-04-17 07:48:22,2025-07-17 18:34:35,2025-07-10 23:13:18,397,20.0,92.0,16.0,304.0,4.0,31.0,1423,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,58,17,True,1,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,,CC-BY-SA-4.0,2021-01-01 22:25:48,2025-07-17 15:03:24,2025-07-17 15:03:22,419,24.0,77.0,23.0,240.0,2.0,4.0,1103,2025-07-17 15:03:27,2025.07.17,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",13,17,True,2,1.0
5,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,,CC-BY-SA-4.0,2021-01-08 14:46:24,2025-07-17 15:03:33,2025-07-17 15:03:32,340,3.0,52.0,23.0,196.0,5.0,5.0,1147,2025-07-17 15:03:37,2025.07.17,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,16,True,1,2.0
6,best-of-robot-simulators,knmcguire/best-of-robot-simulators,,robot-dev,https://github.com/knmcguire/best-of-robot-simulators,https://github.com/knmcguire/best-of-robot-simulators,,CC-BY-SA-4.0,2025-04-09 08:06:08,2025-07-16 12:44:27,2025-07-16 12:44:24,149,47.0,45.0,11.0,66.0,34.0,88.0,815,2025-07-16 12:46:28,2025.07.16,15.0,"A Best-of-list of Robot Simulators, re-generated weekly on Wednesdays.",8,16,True,1,1.0
7,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,,CC-BY-SA-4.0,2022-04-21 16:32:43,2025-07-16 18:41:59,2025-07-16 18:41:57,1307,93.0,26.0,6.0,35.0,,2.0,442,,,,Ranked list of awesome digital gardens / second brains.,21,15,True,3,
8,best-of-scala,stkeky/best-of-scala,,programming-languages,https://github.com/stkeky/best-of-scala,https://github.com/stkeky/best-of-scala,,CC-BY-SA-4.0,2023-03-13 21:28:43,2025-07-17 18:35:34,2025-07-10 21:58:04,180,12.0,25.0,11.0,163.0,4.0,9.0,278,2025-07-10 21:58:16,2025.07.10,96.0,A ranked list of awesome Scala projects. Updated weekly.,18,15,True,3,
9,awesome-gpts,taranjeet/awesome-gpts,['python'],data-engineering,https://github.com/taranjeet/awesome-gpts,https://github.com/taranjeet/awesome-gpts,,MIT,2023-11-10 15:58:26,2024-04-21 19:47:16,2023-12-06 16:57:28,131,,89.0,17.0,48.0,3.0,43.0,1315,,,,Collection of all the GPTs created by the community.,28,13,False,2,
