,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-04-20 14:45:34,2023-04-13 20:35:10,367,25.0,2000.0,373,189,15.0,31.0,13457,2023-04-13 20:35:23,2023.04.13,93.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,36.0,23,True,1
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-04-20 13:29:58,2023-04-13 20:37:27,236,24.0,209.0,83,137,4.0,4.0,2941,2023-04-13 20:37:32,2023.04.13,86.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,9.0,18,True,1
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-04-20 16:31:30,2023-04-13 20:37:15,221,25.0,144.0,52,137,1.0,2.0,1860,2023-04-13 20:37:20,2023.04.13,85.0,A ranked list of awesome python libraries for web development. Updated weekly.,10.0,16,True,1
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-04-20 14:21:41,2023-04-13 20:34:55,219,25.0,38.0,22,134,1.0,5.0,710,2023-04-13 20:35:02,2023.04.13,84.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,6.0,16,True,1
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-04-20 14:18:23,2023-04-13 20:36:11,220,24.0,61.0,22,136,1.0,2.0,645,2023-04-13 20:36:20,2023.04.13,90.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",11.0,15,True,2
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-04-20 15:17:54,2023-04-13 20:36:53,255,24.0,34.0,8,124,1.0,,419,2023-04-13 20:37:01,2023.04.13,86.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,5.0,15,True,2
6,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-04-20 18:07:12,2023-04-13 19:39:40,150,12.0,8.0,6,72,1.0,2.0,201,2023-04-13 22:20:28,2023.04.13,56.0,A ranked list of awesome MkDocs projects and plugins.,4.0,13,True,1
7,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-04-20 01:43:55,2023-04-20 01:43:54,170,40.0,20.0,9,79,5.0,,106,2023-04-20 01:44:01,2023.04.19,60.0,A ranked list of awesome open-source crypto projects. Updated weekly.,3.0,13,True,1
8,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-04-17 12:06:38,2021-05-03 18:03:14,111,,86.0,13,81,56.0,4.0,604,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4.0,12,False,3
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-04-20 18:24:16,2023-04-20 18:24:15,459,94.0,12.0,3,22,,2.0,155,,,,Ranked list of awesome digital gardens / second brains.,14.0,12,True,3
10,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2023-04-19 20:29:09,2023-04-19 20:17:35,370,89.0,3.0,3,464,2.0,,29,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4.0,12,True,1
11,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2023-04-12 10:53:40,2023-04-12 10:53:40,146,13.0,3.0,7,102,57.0,,141,2023-03-01 09:31:46,2023.03.01,24.0,A ranked list of awesome machine learning Rust libraries.,2.0,11,True,3
12,best-of-ps,jinningwang/best-of-ps,,others,https://github.com/jinningwang/best-of-ps,https://github.com/jinningwang/best-of-ps,CC-BY-SA-4.0,2022-11-29 16:56:33,2023-04-20 18:23:36,2023-03-21 21:59:04,139,33.0,5.0,3,59,2.0,3.0,36,2023-04-14 05:28:16,2023.04.13,20.0,A weekly updated ranked list of popular open-source libraries and tools for Power System Analysis.,4.0,11,True,3
13,best-of-django,fkromer/best-of-django,['python'],web-dev,https://github.com/fkromer/best-of-django,https://github.com/fkromer/best-of-django,CC-BY-SA-4.0,2022-10-04 19:22:03,2023-04-01 16:31:21,2023-04-01 16:31:20,133,10.0,1.0,1,29,,,7,,,,A ranked list of awesome Django related Python packages.,,7,True,3
14,best-of-scala,stkeky/best-of-scala,,programming-languages,https://github.com/stkeky/best-of-scala,https://github.com/stkeky/best-of-scala,CC-BY-SA-4.0,2023-03-13 21:28:43,2023-04-20 18:22:26,2023-04-18 08:38:16,39,39.0,,1,21,,,3,2023-03-13 22:58:09,2023.03.13-22.32,1.0,A ranked list of awesome Scala libraries. Updated weekly.,2.0,6,True,3
15,best-of-vue,fkromer/best-of-vue,['javascript'],web-dev,https://github.com/fkromer/best-of-vue,https://github.com/fkromer/best-of-vue,CC-BY-SA-4.0,2022-12-03 16:39:34,2023-04-20 18:09:01,2023-04-14 08:06:34,74,15.0,,3,36,,,13,,,,,2.0,5,False,3
