,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,open_issue_count
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2022-06-23 15:43:08,2022-06-20 11:02:55,273,63.0,1607.0,333,136,29.0,10824,2022-06-19 19:32:15,2022.06.19,51.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,31.0,24,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2022-06-23 15:02:18,2022-06-23 15:02:18,154,34.0,162.0,74,91,4.0,2236,2022-06-23 15:02:23,2022.06.23,47.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,8.0,18,True,1,1.0,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2022-06-23 16:48:41,2022-06-19 19:29:00,135,19.0,117.0,46,90,2.0,1564,2022-06-16 17:42:17,2022.06.16,43.0,A ranked list of awesome python libraries for web development. Updated weekly.,8.0,15,True,1,,4.0
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2022-06-23 15:02:56,2022-06-23 15:02:55,135,36.0,29.0,17,88,5.0,502,2022-06-23 15:03:00,2022.06.23,43.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,4.0,14,True,1,,1.0
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2022-06-23 15:02:41,2022-06-23 15:02:40,137,24.0,46.0,17,91,2.0,461,2022-06-23 15:02:47,2022.06.23,50.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",9.0,13,True,2,,6.0
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2022-06-23 15:43:32,2022-06-16 17:41:24,167,22.0,14.0,4,78,,89,2022-06-16 17:41:30,2022.06.16,44.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,2.0,12,True,3,,
6,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2022-01-04 15:29:32,2021-05-03 18:03:14,111,,48.0,12,48,4.0,423,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4.0,11,False,3,,14.0
7,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2022-06-22 20:26:06,2022-06-22 20:26:06,73,24.0,8.0,4,31,,32,2022-06-22 20:26:11,2022.06.22,19.0,A ranked list of awesome open-source crypto projects. Updated weekly.,2.0,10,True,1,,
8,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2022-06-23 18:08:20,2022-06-16 18:28:00,90,90.0,,1,27,,24,2022-06-16 18:28:07,2022.06.16,13.0,A ranked list of awesome MkDocs projects and plugins.,,10,True,1,,
9,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2022-06-20 12:42:55,2022-01-24 19:09:18,130,,1.0,9,74,,86,2021-10-04 12:57:04,2021.10.04,23.0,A ranked list of awesome machine learning Rust libraries.,2.0,8,True,3,,
10,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2022-06-23 18:31:46,2022-06-23 18:31:46,129,129.0,4.0,2,14,1.0,49,,,,Ranked list of awesome digital gardens / second brains.,6.0,8,True,3,,
11,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2022-06-22 20:49:57,2022-06-22 20:49:56,80,50.0,2.0,2,163,,8,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4.0,8,True,1,,
12,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,1.0,2,38,,7,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2.0,5,True,3,,
