,name,github_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/lukasmasuch/best-of-ml-python,https://github.com/lukasmasuch/best-of-ml-python,lukasmasuch/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2026-04-30 14:47:00,2026-03-22 08:44:47,628,1.0,3024.0,441.0,355.0,32.0,34.0,23453,2025-11-04 05:45:47,2025.10.30,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,57,22,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/lukasmasuch/best-of-python,https://github.com/lukasmasuch/best-of-python,lukasmasuch/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2026-04-30 14:17:17,2026-04-23 14:19:44,444,22.0,313.0,99.0,260.0,11.0,6.0,4450,2026-04-23 14:19:51,2026.04.23,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,18,18,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,,CC-BY-SA-4.0,2021-01-05 13:09:27,2026-04-30 19:01:29,2026-04-09 17:48:38,421,20.0,197.0,55.0,248.0,3.0,4.0,2711,2026-04-09 17:48:44,2026.04.09,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,17,18,True,1,
3,best-of-robot-simulators,knmcguire/best-of-robot-simulators,,robot-dev,https://github.com/knmcguire/best-of-robot-simulators,https://github.com/knmcguire/best-of-robot-simulators,,CC-BY-SA-4.0,2025-04-09 08:06:08,2026-04-30 12:14:16,2026-04-30 12:14:16,200,14.0,92.0,17.0,118.0,17.0,121.0,1303,2026-04-30 12:14:27,2026.04.29,56.0,"A Best-of-list of Robot Simulators, re-generated weekly on Wednesdays.",12,17,True,1,
4,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,,CC-BY-SA-4.0,2021-01-08 14:46:24,2026-04-30 16:52:13,2026-04-09 16:19:55,411,17.0,66.0,24.0,241.0,7.0,5.0,1253,2026-04-09 16:21:18,2026.03.26,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,8,17,True,1,
5,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,,CC-BY-SA-4.0,2021-01-01 22:25:48,2026-04-30 16:46:26,2026-04-23 16:49:31,488,19.0,90.0,23.0,281.0,5.0,4.0,1202,2026-04-23 16:49:36,2026.04.23,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",14,17,True,2,
6,best-of-mkdocs,mkdocs/catalog,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,,CC-BY-SA-4.0,2022-04-17 07:48:22,2026-04-30 19:28:24,2025-11-06 18:40:58,419,,119.0,18.0,367.0,2.0,37.0,1736,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,63,16,True,1,
7,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,,CC-BY-SA-4.0,2022-04-21 16:32:43,2026-04-29 19:49:26,2026-04-29 19:49:25,1602,97.0,29.0,10.0,38.0,,2.0,531,,,,Ranked list of awesome digital gardens / second brains.,24,15,True,3,
8,best-of-scala,stkeky/best-of-scala,,programming-languages,https://github.com/stkeky/best-of-scala,https://github.com/stkeky/best-of-scala,,CC-BY-SA-4.0,2023-03-13 21:28:43,2026-04-30 19:40:17,2026-04-24 10:49:31,215,12.0,26.0,10.0,205.0,3.0,9.0,289,2026-04-24 10:49:43,2026.04.23,100.0,A ranked list of awesome Scala projects. Updated weekly.,13,15,True,3,
9,best-of-mcp-servers,tolkonepiu/best-of-mcp-servers,,data-engineering,https://github.com/tolkonepiu/best-of-mcp-servers,https://github.com/tolkonepiu/best-of-mcp-servers,,CC-BY-SA-4.0,2025-08-01 20:32:12,2026-04-29 17:56:44,2026-04-29 17:56:42,154,47.0,56.0,,125.0,19.0,8.0,72,2026-04-29 17:56:52,2026.04.29,38.0,A ranked list of MCP servers. Updated weekly.,7,15,True,2,2.0
