,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,open_issue_count
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2022-05-12 15:19:59,2022-05-08 20:01:05,248,40.0,1422.0,306,126,27.0,9434,2022-05-05 16:15:00,2022.05.05,44.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,29.0,23,True,1,-1.0,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2022-05-12 14:01:40,2022-05-05 16:15:38,134,16.0,154.0,72,83,4.0,2155,2022-05-05 16:15:53,2022.05.05,40.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,7.0,17,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2022-05-12 16:33:52,2022-05-05 18:19:05,124,10.0,116.0,48,84,2.0,1526,2022-05-05 18:19:11,2022.05.05,38.0,A ranked list of awesome python libraries for web development. Updated weekly.,8.0,15,True,1,,4.0
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2022-05-12 14:48:58,2022-05-05 16:16:10,120,23.0,28.0,18,82,5.0,477,2022-05-05 16:16:34,2022.05.05,36.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,4.0,14,True,1,,1.0
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2022-05-12 14:46:43,2022-05-05 16:16:52,122,12.0,45.0,16,85,2.0,435,2022-05-05 16:17:06,2022.05.05,43.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",9.0,13,True,2,,6.0
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2022-05-12 15:32:28,2022-05-05 16:17:23,155,18.0,10.0,3,72,,73,2022-05-05 16:17:34,2022.05.05,38.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,2.0,12,True,3,,1.0
6,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2022-01-04 15:29:32,2021-05-03 18:03:14,111,,44.0,12,48,4.0,407,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4.0,11,True,3,,14.0
7,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2022-05-12 03:30:31,2022-05-12 03:30:29,63,22.0,5.0,2,25,,22,2022-05-12 03:30:46,2022.05.11,14.0,A ranked list of awesome open-source crypto projects. Updated weekly.,2.0,9,True,1,1.0,
8,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2022-05-12 18:11:49,2022-05-10 18:12:18,59,59.0,,1,17,,17,2022-05-05 18:13:25,2022.05.05,8.0,A ranked list of awesome MkDocs projects and plugins.,,9,True,1,,
9,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2022-05-09 12:47:00,2022-01-24 19:09:18,130,,1.0,9,68,,86,2021-10-04 12:57:04,2021.10.04,23.0,A ranked list of awesome machine learning Rust libraries.,2.0,8,True,3,,
