,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,new_addition
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-11-16 18:07:40,2023-11-16 18:07:39,438.0,28.0,2094.0,383.0,232.0,17.0,33.0,14640.0,2023-11-16 18:07:45,2023.11.16,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,44.0,24,True,1.0,1.0,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-11-16 18:07:10,2023-11-16 18:07:10,301.0,27.0,222.0,88.0,170.0,4.0,4.0,3225.0,2023-11-16 18:07:17,2023.11.16,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,12.0,19,True,1.0,1.0,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-11-16 18:15:11,2023-11-16 18:15:10,284.0,25.0,154.0,52.0,170.0,1.0,2.0,2057.0,2023-11-16 18:15:16,2023.11.16,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,13.0,18,True,1.0,1.0,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-11-16 18:07:21,2023-11-16 18:07:20,281.0,24.0,40.0,24.0,166.0,3.0,5.0,838.0,2023-11-16 18:07:25,2023.11.16,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7.0,17,True,1.0,1.0,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-11-16 18:07:29,2023-11-16 18:07:28,284.0,28.0,69.0,25.0,168.0,1.0,3.0,750.0,2023-11-16 18:07:33,2023.11.16,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",13.0,17,True,2.0,,
5,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-11-16 18:07:01,2023-11-16 18:07:01,228.0,25.0,30.0,15.0,110.0,5.0,,155.0,2023-11-16 18:07:07,2023.11.15,88.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5.0,16,True,1.0,,
6,best-of-mkdocs,mkdocs/catalog,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-11-16 18:20:58,2023-11-12 21:51:11,229.0,35.0,30.0,11.0,144.0,4.0,11.0,536.0,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,19.0,15,True,1.0,,
7,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-11-16 18:07:50,2023-11-16 18:07:49,316.0,26.0,49.0,12.0,154.0,1.0,1.0,519.0,2023-11-16 18:15:01,2023.11.16,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,6.0,15,True,2.0,,
8,best-of-digital-identity,jruizaranguren/best-of-digital-identity,,internet,https://github.com/jruizaranguren/best-of-digital-identity,https://github.com/jruizaranguren/best-of-digital-identity,CC-BY-SA-4.0,2023-04-12 09:58:39,2023-11-16 18:19:59,2023-11-16 15:10:11,182.0,28.0,4.0,5.0,71.0,,,32.0,2023-11-12 17:40:25,2023.11.11,11.0,A ranked list of awesome Digital Identity open source projects.,3.0,14,True,1.0,2.0,
9,awesome-gpts,taranjeet/awesome-gpts,['python'],data-engineering,https://github.com/taranjeet/awesome-gpts,https://github.com/taranjeet/awesome-gpts,MIT,2023-11-10 15:58:26,2023-11-16 15:31:17,2023-11-16 15:25:28,83.0,83.0,48.0,11.0,32.0,5.0,37.0,940.0,,,,Collection of all the GPTs created by the community.,20.0,13,True,2.0,,True
