,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2024-03-28 17:24:30,2024-03-21 23:48:53,473,23.0,2286.0,388,252,22.0,34.0,15223,2024-03-21 23:48:59,2024.03.21,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,45.0,23,True,1
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2024-03-28 14:59:06,2024-03-21 23:46:19,337,24.0,225.0,87,189,4.0,5.0,3371,2024-03-21 23:46:26,2024.03.21,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,12.0,18,True,1
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2024-03-28 18:06:43,2024-03-21 23:45:25,321,26.0,159.0,54,191,,3.0,2144,2024-03-21 23:45:35,2024.03.21,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,14.0,18,True,1
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2024-03-28 14:55:41,2024-03-21 23:46:39,317,24.0,43.0,26,185,3.0,5.0,897,2024-03-21 23:46:49,2024.03.21,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7.0,16,True,1
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2024-03-28 15:05:09,2024-03-14 16:05:13,321,24.0,76.0,24,189,2.0,3.0,814,2024-03-21 23:48:42,2024.03.21,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",13.0,16,True,2
5,best-of-mkdocs,mkdocs/catalog,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22,2024-03-28 18:19:50,2024-03-22 21:30:45,266,24.0,42.0,15,182,4.0,14.0,770,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,28.0,15,True,1
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2024-03-28 10:01:26,2024-03-28 10:01:26,262,24.0,45.0,14,129,5.0,,200,2024-03-20 22:58:26,2024.03.20,100.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5.0,15,True,1
7,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2024-03-28 16:30:32,2024-03-22 01:43:07,352,24.0,70.0,13,173,1.0,2.0,654,2024-03-22 01:43:12,2024.03.21,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,6.0,14,True,2
8,best-of-ps,jinningwang/best-of-ps,,others,https://github.com/jinningwang/best-of-ps,https://github.com/jinningwang/best-of-ps,CC-BY-SA-4.0,2022-11-29 16:56:33,2024-03-28 18:22:06,2024-03-22 01:33:42,299,159.0,18.0,4,94,2.0,3.0,104,2024-03-22 01:33:57,2024.03.21,44.0,A weekly updated ranked list of popular open-source libraries and tools for Power System Analysis.,5.0,14,True,1
9,best-of-digital-identity,jruizaranguren/best-of-digital-identity,,internet,https://github.com/jruizaranguren/best-of-digital-identity,https://github.com/jruizaranguren/best-of-digital-identity,CC-BY-SA-4.0,2023-04-12 09:58:39,2024-03-28 18:18:20,2024-03-22 07:27:40,246,43.0,6.0,10,95,,,49,2024-03-17 09:54:32,2024.03.14,26.0,A ranked list of awesome Digital Identity open source projects.,4.0,14,True,1
