,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-03-09 15:34:53,2023-03-02 18:31:54,355,26.0,1964.0,363,183,12.0,31.0,12954,2023-03-02 18:32:03,2023.03.02,87.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,36.0,23,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-03-09 13:48:58,2023-03-02 18:32:40,224,23.0,204.0,83,129,2.0,4.0,2862,2023-03-02 18:32:47,2023.03.02,81.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,9.0,18,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-03-09 16:56:42,2023-03-02 18:31:24,209,24.0,141.0,52,130,,2.0,1828,2023-03-02 18:31:48,2023.03.02,79.0,A ranked list of awesome python libraries for web development. Updated weekly.,10.0,16,True,1,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-03-09 14:40:55,2023-03-02 18:32:26,206,23.0,36.0,21,127,1.0,5.0,683,2023-03-02 18:32:35,2023.03.02,78.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,5.0,16,True,1,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-03-09 14:40:45,2023-03-02 18:32:15,206,21.0,61.0,21,129,1.0,2.0,612,2023-03-02 18:32:22,2023.03.02,84.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",10.0,15,True,2,
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-03-09 15:41:53,2023-03-02 18:31:32,243,23.0,34.0,8,118,1.0,,397,2023-03-02 18:31:41,2023.03.02,80.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,5.0,15,True,2,
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-03-09 10:00:36,2023-03-09 10:00:36,158,39.0,20.0,10,73,5.0,,97,2023-03-09 10:00:58,2023.03.08,54.0,A ranked list of awesome open-source crypto projects. Updated weekly.,3.0,13,True,1,
7,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-03-06 12:05:58,2021-05-03 18:03:14,111,,78.0,13,75,14.0,4.0,577,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4.0,12,False,3,
8,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-03-09 18:08:40,2023-03-02 20:50:55,144,12.0,6.0,5,66,1.0,2.0,154,2023-03-02 20:51:35,2023.03.02,50.0,A ranked list of awesome MkDocs projects and plugins.,4.0,12,True,1,1.0
9,best-of-ps,jinningwang/best-of-ps,,others,https://github.com/jinningwang/best-of-ps,https://github.com/jinningwang/best-of-ps,CC-BY-SA-4.0,2022-11-29 16:56:33,2023-03-09 18:24:55,2023-03-08 12:56:47,124,43.0,5.0,3,52,,3.0,29,2023-03-02 19:17:17,2023.03.02,15.0,A weekly updated ranked list of popular open-source libraries and tools for Power System Analysis.,3.0,12,True,1,2.0
10,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2023-03-08 20:19:34,2023-03-08 20:18:36,328,89.0,3.0,3,422,2.0,,26,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4.0,12,True,1,
11,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-03-08 18:29:21,2023-03-08 18:29:20,413,100.0,11.0,3,21,,2.0,128,,,,Ranked list of awesome digital gardens / second brains.,13.0,11,True,3,
12,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2023-03-05 10:45:11,2023-03-05 10:45:11,139,7.0,3.0,7,101,57.0,,129,2023-03-01 09:31:46,2023.03.01,24.0,A ranked list of awesome machine learning Rust libraries.,2.0,10,True,3,
13,best-of-django,fkromer/best-of-django,['python'],web-dev,https://github.com/fkromer/best-of-django,https://github.com/fkromer/best-of-django,CC-BY-SA-4.0,2022-10-04 19:22:03,2023-03-02 09:54:06,2023-03-02 09:54:05,131,80.0,1.0,1,28,,,8,,,,A ranked list of awesome Django related Python packages.,,7,True,3,
14,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,1.0,2,38,,,10,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2.0,5,False,3,
15,best-of-fastapi,fkromer/best-of-fastapi,['python'],web-dev,https://github.com/fkromer/best-of-fastapi,https://github.com/fkromer/best-of-fastapi,CC-BY-SA-4.0,2022-11-27 14:22:10,2023-03-09 18:06:53,2023-03-03 10:10:00,45,12.0,,1,22,,,5,,,,List of automatically rated Python packages for FastAPI.,2.0,5,True,3,
16,best-of-vue,fkromer/best-of-vue,['javascript'],web-dev,https://github.com/fkromer/best-of-vue,https://github.com/fkromer/best-of-vue,CC-BY-SA-4.0,2022-12-03 16:39:34,2023-03-09 18:09:24,2023-03-03 10:09:49,68,17.0,,2,30,,,11,,,,,2.0,4,False,3,-1.0
