,name,github_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/lukasmasuch/best-of-ml-python,https://github.com/lukasmasuch/best-of-ml-python,lukasmasuch/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2025-10-16 15:59:58,2025-10-09 18:58:17,619,26.0,2893.0,441.0,337.0,27.0,34.0,22214,2025-10-09 18:58:23,2025.10.09,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,54,23,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/lukasmasuch/best-of-python,https://github.com/lukasmasuch/best-of-python,lukasmasuch/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2025-10-16 13:48:59,2025-10-09 16:29:44,389,25.0,276.0,97.0,216.0,9.0,6.0,4184,2025-10-09 16:29:50,2025.10.09,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,14,18,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,,CC-BY-SA-4.0,2021-01-05 13:09:27,2025-10-16 17:03:27,2025-10-02 18:06:49,371,22.0,192.0,56.0,219.0,3.0,4.0,2618,2025-09-28 18:52:23,2025.09.25,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,16,18,True,1,
3,best-of-mkdocs,mkdocs/catalog,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,,CC-BY-SA-4.0,2022-04-17 07:48:22,2025-10-16 18:35:29,2025-10-09 22:16:22,416,18.0,110.0,15.0,327.0,2.0,35.0,1546,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,63,17,True,1,
4,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,,CC-BY-SA-4.0,2021-01-08 14:46:24,2025-10-16 15:05:04,2025-10-09 16:30:13,364,24.0,53.0,23.0,209.0,4.0,5.0,1187,2025-10-09 16:30:18,2025.10.09,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,17,True,1,
5,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,,CC-BY-SA-4.0,2021-01-01 22:25:48,2025-10-16 14:53:15,2025-10-09 16:30:01,443,24.0,90.0,24.0,253.0,5.0,4.0,1140,2025-10-09 16:30:07,2025.10.09,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",13,17,True,2,
6,best-of-robot-simulators,knmcguire/best-of-robot-simulators,,robot-dev,https://github.com/knmcguire/best-of-robot-simulators,https://github.com/knmcguire/best-of-robot-simulators,,CC-BY-SA-4.0,2025-04-09 08:06:08,2025-10-16 15:10:59,2025-10-16 15:10:55,165,16.0,56.0,14.0,82.0,15.0,117.0,930,2025-10-16 15:11:40,2025.10.15,28.0,"A Best-of-list of Robot Simulators, re-generated weekly on Wednesdays.",8,17,True,1,1.0
7,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,,CC-BY-SA-4.0,2022-04-21 16:32:43,2025-10-15 18:38:08,2025-10-15 18:38:08,1398,89.0,26.0,6.0,35.0,,2.0,470,,,,Ranked list of awesome digital gardens / second brains.,21,15,True,3,
8,best-of-scala,stkeky/best-of-scala,,programming-languages,https://github.com/stkeky/best-of-scala,https://github.com/stkeky/best-of-scala,,CC-BY-SA-4.0,2023-03-13 21:28:43,2025-10-16 18:31:50,2025-10-07 09:34:05,189,8.0,25.0,10.0,176.0,4.0,9.0,279,2025-10-07 09:34:23,2025.10.02,100.0,A ranked list of awesome Scala projects. Updated weekly.,18,14,True,3,
9,awesome-gpts,taranjeet/awesome-gpts,['python'],data-engineering,https://github.com/taranjeet/awesome-gpts,https://github.com/taranjeet/awesome-gpts,,MIT,2023-11-10 15:58:26,2024-04-21 19:47:16,2023-12-06 16:57:28,131,,90.0,16.0,49.0,3.0,43.0,1328,,,,Collection of all the GPTs created by the community.,28,13,False,2,
10,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,,CC-BY-SA-4.0,2021-01-09 00:40:46,2024-06-28 01:43:05,2021-05-03 18:03:14,111,,151.0,20.0,128.0,110.0,4.0,1313,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,13,False,2,
11,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/lukasmasuch/best-of-crypto,https://github.com/lukasmasuch/best-of-crypto,,CC-BY-SA-4.0,2022-01-08 21:25:33,2024-07-12 09:36:46,2024-06-05 20:02:12,282,,87.0,23.0,143.0,11.0,,489,2024-06-05 20:02:18,2024.06.05,100.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5,13,False,1,
12,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,,CC-BY-SA-4.0,2021-02-09 10:37:33,2025-10-01 09:28:24,2025-09-16 13:18:37,209,3.0,22.0,12.0,132.0,57.0,,433,2024-12-02 23:59:31,2024.12.01,31.0,A ranked list of awesome machine learning Rust libraries.,4,13,True,2,
13,best-of-digital-identity,jruizaranguren/best-of-digital-identity,,internet,https://github.com/jruizaranguren/best-of-digital-identity,https://github.com/jruizaranguren/best-of-digital-identity,,CC-BY-SA-4.0,2023-04-12 09:58:39,2025-10-16 18:36:00,2025-10-10 13:46:45,340,16.0,10.0,7.0,150.0,,1.0,151,2025-10-10 13:47:14,2025.10.09,63.0,A ranked list of awesome Digital Identity open source projects.,5,13,True,1,
14,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,,CC-BY-SA-4.0,2022-01-23 23:37:02,2025-10-15 20:24:33,2025-10-11 20:22:34,1272,85.0,4.0,5.0,1368.0,1.0,,74,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",5,13,True,1,
15,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/lukasmasuch/best-of-react,https://github.com/lukasmasuch/best-of-react,,CC-BY-SA-4.0,2021-02-21 12:52:27,2025-08-28 08:50:49,2025-08-28 08:50:49,375,1.0,114.0,17.0,187.0,2.0,2.0,1008,2024-06-06 15:57:19,2024.06.06,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,9,11,True,2,
16,best-of-mcp-servers,tolkonepiu/best-of-mcp-servers,,data-engineering,https://github.com/tolkonepiu/best-of-mcp-servers,https://github.com/tolkonepiu/best-of-mcp-servers,,CC-BY-SA-4.0,2025-08-01 20:32:12,2025-10-15 08:57:35,2025-10-15 08:56:42,62,62.0,1.0,,27.0,,,6,2025-10-13 07:25:37,2025.10.13,10.0,A ranked list of MCP servers. Updated weekly.,3,11,True,3,1.0
17,best-of-nix,tolkonepiu/best-of-nix,,programming-languages,https://github.com/tolkonepiu/best-of-nix,https://github.com/tolkonepiu/best-of-nix,,CC-BY-SA-4.0,2025-05-11 01:41:28,2025-10-13 21:26:40,2025-10-13 07:24:42,85,47.0,,2.0,44.0,,,5,2025-10-13 07:24:56,2025.10.13,26.0,A ranked list of the best resources in the Nix community. Updated weekly.,3,10,True,3,1.0
18,best-of-django,fkromer/best-of-django,['python'],web-dev,https://github.com/fkromer/best-of-django,https://github.com/fkromer/best-of-django,,CC-BY-SA-4.0,2022-10-04 19:22:03,2025-10-01 08:35:43,2025-10-01 08:35:41,390,6.0,13.0,2.0,88.0,,,118,,,,A ranked list of awesome Django related Python packages.,3,9,True,3,
19,best-of-fastapi,fkromer/best-of-fastapi,['python'],web-dev,https://github.com/fkromer/best-of-fastapi,https://github.com/fkromer/best-of-fastapi,,CC-BY-SA-4.0,2022-11-27 14:22:10,2025-10-16 18:22:36,2025-10-16 18:22:36,169,13.0,1.0,2.0,146.0,,,40,,,,List of automatically rated Python packages for FastAPI.,3,9,True,3,
20,best-of-ps,jinningwang/best-of-ps,,others,https://github.com/jinningwang/best-of-ps,https://github.com/jinningwang/best-of-ps,,CC-BY-SA-4.0,2025-05-22 12:32:43,2025-09-03 03:20:33,2025-08-28 20:33:03,567,23.0,,,,,,11,,,,A weekly updated ranked list of popular open-source libraries and tools for Power System Analysis.,7,8,True,3,
21,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,2.0,3.0,38.0,9.0,,24,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2,7,False,3,
22,best-of-rust-on-embedded-linux,fkromer/best-of-rust-on-embedded-linux,,embedded-dev,https://github.com/fkromer/best-of-rust-on-embedded-linux,https://github.com/fkromer/best-of-rust-on-embedded-linux,,CC-BY-SA-4.0,2025-04-22 18:53:52,2025-10-16 18:22:52,2025-10-16 18:22:50,121,30.0,1.0,1.0,34.0,,,7,,,,A ranked list of awesome Rust crates and projects suitable for the embedded Linux/Unix domain.,4,7,True,1,
23,best-of-react-native,fkromer/best-of-react-native,,native-dev,https://github.com/fkromer/best-of-react-native,https://github.com/fkromer/best-of-react-native,,CC-BY-SA-4.0,2023-04-30 19:12:38,2025-05-22 19:33:45,2025-05-22 19:33:45,216,,2.0,1.0,100.0,,,8,,,,List of automatically rated React Native projects.,2,5,True,1,
24,best-of-vue,fkromer/best-of-vue,['javascript'],web-dev,https://github.com/fkromer/best-of-vue,https://github.com/fkromer/best-of-vue,,CC-BY-SA-4.0,2022-12-03 16:39:34,2025-05-22 19:34:26,2025-05-22 19:34:26,175,,,1.0,136.0,,,6,,,,List of automatically rated Vue projects.,2,5,True,3,
