,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2022-01-13 18:07:41,2022-01-13 18:07:41,197,19.0,804.0,233,97,5.0,20.0,6163,2022-01-13 18:07:49,2022.01.13,38,A ranked list of awesome machine learning Python libraries. Updated weekly.,20.0,19,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2022-01-13 18:04:17,2022-01-13 18:04:15,108,23.0,138.0,68,63,,4.0,1912,2022-01-13 18:04:23,2022.01.13,32,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,6.0,16,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2022-01-13 18:04:59,2022-01-13 18:04:58,102,20.0,91.0,49,66,4.0,2.0,1406,2022-01-13 18:05:07,2022.01.13,30,A ranked list of awesome python libraries for web development. Updated weekly.,7.0,15,True,1,,
3,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2022-01-13 18:05:45,2022-01-13 18:05:43,99,23.0,40.0,16,67,6.0,2.0,373,2022-01-06 18:52:38,2022.01.06,34,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",8.0,13,True,2,,
4,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2022-01-13 18:06:04,2022-01-13 18:06:03,87,19.0,19.0,16,60,1.0,5.0,386,2022-01-13 18:06:20,2022.01.13,27,A ranked list of awesome python developer tools and libraries. Updated weekly.,2.0,12,True,1,,
5,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2022-01-04 15:29:32,2021-05-03 18:03:14,111,,38.0,12,48,14.0,4.0,340,2021-05-03 17:59:01,2021.05.03-17.47,8,A ranked gallery of awesome streamlit apps built by the community.,4.0,12,True,3,,
6,best-of-ml-rust,e-tony/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2022-01-10 12:37:07,2021-12-13 12:42:57,127,11.0,1.0,8,51,,,77,2021-10-04 12:57:04,2021.10.04,23,A ranked list of awesome machine learning Rust libraries.,2.0,10,True,3,e-tornike/best-of-ml-rust,
7,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2022-01-13 18:06:29,2022-01-13 18:06:29,106,34.0,1.0,3,51,1.0,,31,2022-01-13 18:07:09,2022.01.13,27,A ranked list of awesome React open-source libraries and tools. Updated weekly.,1.0,10,True,3,,
8,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2022-01-13 17:53:10,2022-01-13 17:53:08,33,33.0,1.0,1,7,,,4,2022-01-09 13:18:19,2022.01.09,1,A ranked list of awesome open-source crypto projects. Updated weekly.,,7,True,1,,2.0
9,best-of-ml-julia,e-tony/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,,2,38,,,5,2021-05-10 14:35:56,2021.05.10,3,A ranked list of awesome machine learning Julia libraries.,2.0,6,True,3,e-tornike/best-of-ml-julia,
